date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:34	23256/23256	---M-Z	200	added ('OK')	text/html	etag:%225ad8-5919b5e940301-gzip%22	http://www.comebackearlytoday.com/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/index.html	(from )
21:55:36	828/828	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:55:34%20GMT	http://www.comebackearlytoday.com/robots.txt		(from )
21:55:36	3447/3447	---M-Z	200	added ('OK')	text/css	etag:%22pub1433102736;gz%22	http://www.comebackearlytoday.com/wp-content/plugins/wp-minify/min/?f=wp-content/plugins/lightbox-plus/css/framed/colorbox.min.css&m=1433102736	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/plugins/wp-minify/min/index5862.html	(from http://www.comebackearlytoday.com/)
21:55:36	275/275	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Sep%202019%2002:55:36%20GMT	https://comebackearlytoday.com/wp-content/themes/cbet/style.css	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/comebackearlytoday.com/wp-content/themes/cbet/style.0.delayed	(from http://www.comebackearlytoday.com/)
21:55:37	19617/19617	---M--	200	added ('OK')	text/css	etag:%224ca1-547e7523acb44%22	https://www.comebackearlytoday.com/wp-content/themes/cbet/style.css	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/themes/cbet/style.css	(from http://www.comebackearlytoday.com/)
21:55:39	828/828	---M--	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:55:37%20GMT	http://www.comebackearlytoday.com/xmlrpc.php	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/xmlrpc.php	(from http://www.comebackearlytoday.com/)
21:55:40	20910/20910	---M--	200	added ('OK')	image/jpeg	etag:%2251ae-5259ce7a48cc0%22	https://www.comebackearlytoday.com/wp-content/uploads/2015/11/FJiA-BookCover-207x300.jpeg	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/wp-content/uploads/2015/11/FJiA-BookCover-207x300.jpg	(from http://www.comebackearlytoday.com/)
21:55:42	45907/45907	---MC-	200	added ('OK')	application/rss+xml	etag:%22fa08d755a9281a17e1763eb3ef664130%22	http://www.comebackearlytoday.com/feed/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/feed/index.html	(from http://www.comebackearlytoday.com/)
21:55:42	832/832	---M--	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:55:40%20GMT	http://www.comebackearlytoday.com/xmlrpc.php?rsd	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/xmlrpc.40db0.delayed	(from http://www.comebackearlytoday.com/)
21:55:43	832/832	---MC-	403	error ('Bad%20Behavior')	text/html	date:Tue,%2003%20Sep%202019%2002:55:40%20GMT	http://www.comebackearlytoday.com/comments/feed/	C:/code/comebackearlytoday.com-static/comebackearlytoday.com/www.comebackearlytoday.com/comments/feed/index.html	(from http://www.comebackearlytoday.com/)
